Fri. Jul. 18, 2014             LANDSAT 1                 Time: 13:08
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12478139            Path/Row: 036 / 032

L0R Reference Image: L11XXX1173191170101_HDF.141991757
Acquisition Date: Jul 10, 1973

Band Number:  7

GeoCover date for each WRS-1 path/row used:
Path  Row   Date
033   031   2000-06-10
033   032   2002-09-20
033   033   2000-09-14
034   031   1999-10-05
034   032   2001-09-24
034   033   2001-09-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0330310030   41.098864 -104.870915  1871.972       0.000     0.000     2.845   -21.640
0330320010   40.902818 -104.674681  1689.691       0.000     0.000   -17.047    -1.126
0330320015   39.949176 -105.364773  2217.562       0.000     0.000   110.164   -54.835
0330320022   40.862705 -105.089231  1708.327       0.000     0.000   -34.252    24.524
0330320028   40.884313 -104.632041  1643.563       0.000     0.000    17.475    15.354
0330320030   40.215505 -105.416966  2141.612       0.000     0.000     1.744   -23.015
0330320038   40.843921 -104.524079  1595.318       0.000     0.000   -12.224    14.848
0330320052   39.838356 -105.085086  1651.199       0.000     0.000    30.748    -1.192
0330320053   39.874769 -105.461904  2747.018       0.000     0.000   -20.683    -0.026
0330320064   40.891353 -105.087133  1754.671       0.000     0.000   -20.613    20.206
0330320092   40.838312 -105.155385  1759.750       0.000     0.000    -5.561    16.098
0330320109   40.607059 -105.059102  1501.470       0.000     0.000   -77.857  -122.994
0330320117   40.318222 -105.215625  1745.836       0.000     0.000   -75.709    75.012
0330320118   39.820905 -105.409664  2592.809       0.000     0.000   -25.186    23.554
0330320122   40.585868 -105.169688  1643.000       0.000     0.000    80.188    76.800
0330320124   40.775587 -104.471241  1566.465       0.000     0.000   -22.480    27.508
0330320126   40.350643 -105.222087  1743.086       0.000     0.000   183.259     4.055
0330320129   40.182197 -104.973453  1467.977       0.000     0.000    -1.265    19.382
0330320144   39.785944 -105.501951  2598.923       0.000     0.000    -5.311     4.167
0330320159   40.733926 -104.462334  1550.581       0.000     0.000    -0.062    67.779
0330320171   39.997624 -104.574990  1530.000       0.000     0.000  -101.065  -119.577
0330320176   40.447068 -105.037736  1498.000       0.000     0.000    -8.504    -8.259
0330320179   40.816090 -105.195174  1759.800       0.000     0.000   -26.396    22.030
0330320197   40.150512 -105.278495  1705.994       0.000     0.000   -14.640     3.559
0330320200   39.945777 -105.209535  1726.752       0.000     0.000     7.880   -16.866
0330320203   40.331353 -105.099828  1558.982       0.000     0.000    10.080   -12.108
0330320208   39.902488 -105.231162  1844.809       0.000     0.000   -23.202   -31.047
0330320230   40.311810 -105.170413  1586.457       0.000     0.000    24.099     4.516
0330320232   40.143074 -105.217888  1575.196       0.000     0.000    31.684    -3.037
0330320236   40.066875 -105.205684  1560.660       0.000     0.000     5.203   -26.028
0330320239   40.272634 -105.297344  1753.405       0.000     0.000    -6.855    -0.232
0330320241   40.729176 -105.113921  1598.551       0.000     0.000    11.160    30.841
0330320244   40.534626 -105.061164  1508.109       0.000     0.000    -7.435    61.790
0330320255   40.339971 -105.130924  1550.082       0.000     0.000    42.213     5.434
0330320264   40.687055 -105.062013  1578.527       0.000     0.000   -20.282   -12.459
0330320272   39.684283 -105.083497  1676.266       0.000     0.000    19.793    -1.222
0330320277   41.091869 -104.903078  1905.218       0.000     0.000    26.902   -66.280
0330320288   40.653543 -105.061982  1554.000       0.000     0.000   -11.131    23.009
0330320290   40.195065 -105.158841  1534.868       0.000     0.000    49.977   -12.297
0330320302   40.228626 -105.121541  1540.389       0.000     0.000    13.426    -8.629
0330320309   40.657260 -105.137930  1576.076       0.000     0.000     5.612    -3.856
0330320312   40.669419 -104.713442  1522.611       0.000     0.000   -36.618     4.010
0330320317   40.110576 -105.249466  1619.975       0.000     0.000    -7.811   -23.333
0330320330   40.889653 -105.160491  1792.932       0.000     0.000   -23.703    40.599
0330320340   40.655140 -105.097471  1535.000       0.000     0.000     3.259     0.618
0330320342   39.908555 -105.388424  2705.705       0.000     0.000    -2.960     0.676
0330320353   40.364776 -105.176199  1599.700       0.000     0.000   -24.897    13.444
0330320359   39.873459 -105.125121  1668.465       0.000     0.000    46.276    54.173
0330320369   40.261027 -105.149117  1543.355       0.000     0.000     6.810     1.164
0330320377   40.191764 -105.196193  1548.212       0.000     0.000    14.166   -18.357
0330320387   39.911087 -105.255059  1843.421       0.000     0.000   -34.707   -26.977
0330320402   40.705749 -105.236048  1659.507       0.000     0.000    -9.757    14.630
0330320403   39.685828 -105.387873  2456.837       0.000     0.000   -35.963     5.956
0330320411   40.926928 -105.174121  1941.212       0.000     0.000     2.626     2.722
0330320417   39.649002 -105.198846  1802.930       0.000     0.000   -21.279   -20.999
0330320418   40.597513 -105.293106  2216.132       0.000     0.000   -36.708    17.816
0330320422   39.724917 -105.334884  2089.173       0.000     0.000    -4.034   -11.904
0330320423   39.645799 -105.173661  1728.014       0.000     0.000     7.614    -2.494
0330320425   39.698491 -105.311662  2252.458       0.000     0.000    -2.006     0.651
0330320426   39.704139 -105.202503  1959.509       0.000     0.000   -27.166    -1.605
0330320427   39.730558 -105.239689  2216.098       0.000     0.000   -14.804    -0.906
0330320428   39.655212 -105.322658  2167.757       0.000     0.000   -10.809   -11.914
0330320429   40.975600 -105.154994  2070.392       0.000     0.000   -13.643    11.872
0330320435   40.946957 -105.152075  1965.303       0.000     0.000    -2.783    12.451
0330330001   39.560600 -105.204879  2250.507       0.000     0.000   -20.482    31.426
0330330006   39.660693 -104.844953  1697.628       0.000     0.000   -21.759    47.160
0330330012   39.646240 -105.340798  2260.218       0.000     0.000    -0.004    -9.848
0330330069   39.755852 -105.146621  1685.451       0.000     0.000    13.762   -22.414
0330330147   39.827878 -105.493141  2762.004       0.000     0.000   -17.830     5.391
0330330208   39.660138 -105.165304  1742.345       0.000     0.000    -9.725    12.022
0330330218   39.621765 -105.156824  1761.042       0.000     0.000     0.477     6.092
0330330236   39.573212 -105.028176  1629.827       0.000     0.000    31.203    27.063
0330330299   39.801402 -105.490149  2474.965       0.000     0.000   -15.582     2.474
0330330324   39.604474 -105.150495  1794.391       0.000     0.000    -2.726    22.659
