==============================================================================
==============================================================================
Fri. Jul. 18 2014                  LANDSAT 1                       Time: 18:14
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407172653_00681                          Path / Row - 36 / 32
Reference Image: L11XXX1173191170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 72.9%
Rank   2 -- 27.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360320540   41.14799   -106.01342     0.14      0.21     0.26     1 
0360320620   41.12363   -105.81292    -0.18     -0.05     0.19     1 
0360320691   41.09645   -105.97262     0.52      0.01     0.52     2 
0360320692   41.09678   -105.93261     0.20     -0.22     0.30     1 
0360320693   41.09710   -105.89261     0.16     -0.20     0.25     1 
0360320694   41.09740   -105.85260    -0.03      0.21     0.21     1 
0360320699   41.09871   -105.65257    -0.03      0.16     0.16     1 
0360320700   41.09893   -105.61256    -0.06     -0.03     0.07     1 
0360320701   41.09913   -105.57255    -0.11      0.14     0.18     1 
0360320702   41.09933   -105.53254     0.00     -0.11     0.11     1 
0360320703   41.09951   -105.49253     0.30      0.16     0.35     1 
0360320712   41.10048   -105.13242    -0.47      0.33     0.58     2 
0360320713   41.10052   -105.09241    -0.42      0.36     0.55     2 
0360320715   41.10056   -105.01238    -0.49      0.48     0.69     2 
0360320716   41.10055   -104.97237    -0.47      0.23     0.53     2 
0360320767   41.07084   -105.93225     0.23     -0.30     0.38     1 
0360320768   41.07116   -105.89226     0.29     -0.15     0.33     1 
0360320779   41.07373   -105.45234     0.19     -0.17     0.26     1 
0360320790   41.07461   -105.01238    -0.27      0.17     0.32     1 
0360320798   41.07420   -104.69241    -0.31     -0.15     0.35     1 
0360320800   41.07396   -104.61242    -0.34      0.08     0.35     1 
0360320841   41.04457   -105.97186     0.18     -0.40     0.44     1 
0360320842   41.04490   -105.93188     0.20     -0.38     0.43     1 
0360320844   41.04552   -105.85193    -0.02      0.02     0.03     1 
0360320845   41.04581   -105.81196     0.22     -0.16     0.27     1 
0360320846   41.04608   -105.77198    -0.07     -0.15     0.17     1 
0360320847   41.04635   -105.73201    -0.25      0.34     0.42     1 
0360320850   41.04704   -105.61208     0.65      0.10     0.66     2 
0360320856   41.04807   -105.37220     0.30     -0.05     0.30     1 
0360320857   41.04819   -105.33222    -0.03     -0.07     0.07     1 
0360320858   41.04830   -105.29224     0.10     -0.16     0.18     1 
0360320917   41.01896   -105.93152     0.09     -0.14     0.17     1 
0360320920   41.01987   -105.81164     0.31     -0.28     0.42     1 
0360320925   41.02110   -105.61183     0.66     -0.21     0.69     2 
0360320930   41.02199   -105.41202     0.29     -0.24     0.37     1 
0360320931   41.02213   -105.37206     0.13     -0.12     0.17     1 
0360320932   41.02225   -105.33209     0.04     -0.10     0.11     1 
0360320933   41.02236   -105.29213    -0.04     -0.14     0.14     1 
0360320939   41.02271   -105.05234    -0.18      0.10     0.20     1 
0360320940   41.02273   -105.01237    -0.09      0.02     0.10     1 
0360320950   41.02208   -104.61272    -0.14      0.06     0.15     1 
0360320991   40.99269   -105.97109     0.40     -0.49     0.64     2 
0360320993   40.99334   -105.89121     0.50      0.12     0.51     2 
0360320995   40.99393   -105.81132     0.31     -0.45     0.55     2 
0360320996   40.99420   -105.77138     0.35      0.01     0.35     1 
0360320999   40.99494   -105.65154     0.56     -0.21     0.60     2 
0360321000   40.99516   -105.61159     0.75     -0.32     0.81     2 
0360321001   40.99537   -105.57165     0.72     -0.35     0.80     2 
0360321003   40.99574   -105.49175     0.71     -0.27     0.76     2 
0360321004   40.99590   -105.45181     0.73      0.07     0.73     2 
0360321005   40.99605   -105.41186     0.39     -0.07     0.40     1 
0360321006   40.99618   -105.37191     0.32     -0.12     0.35     1 
0360321007   40.99631   -105.33196     0.18     -0.05     0.19     1 
0360321008   40.99641   -105.29201     0.02      0.16     0.16     1 
0360321009   40.99651   -105.25206    -0.01     -0.17     0.17     1 
